entry_id,neighborhood,district,total_population,foreign_population,spanish_population,elderly_population,young_population,female_population,density_2023,total_population_growth_1y,foreign_population_growth_1y,spanish_population_growth_1y,elderly_population_growth_1y,young_population_growth_1y,female_population_growth_1y,density_2022,total_population_growth_3y,foreign_population_growth_3y,spanish_population_growth_3y,elderly_population_growth_3y,young_population_growth_3y,female_population_growth_3y,density_2020,total_population_growth_5y,foreign_population_growth_5y,spanish_population_growth_5y,elderly_population_growth_5y,young_population_growth_5y,female_population_growth_5y,density_2018,number_transactions,number_transactions_new,number_transactions_social,number_transactions_used,total_transactions_growth_1y,total_transactions_growth_3y,total_transactions_growth_5y,average_loan_amount,interest_rate,average_period_mortgage,average_size_ongoing_transaction,tenancy_days,residential_real_estates,average_built_area,average_construction_year,total_rent_portal_03_23,total_price_portal_03_23,total_price_portal,total_price_portal_growth_5y,total_price_portal_growth_3y,total_price_portal_growth_1y,total_price_register,new_price_register,used_price_register,price_official_internal_index,total_price_register_growth_5y,new_price_register_growth_5y,used_price_register_growth_5y,total_price_register_growth_3y,new_price_register_growth_3y,used_price_register_growth_3y,total_price_register_growth_1y,new_price_register_growth_1y,used_price_register_growth_1y,IVBSI_2022,IVMAUM_2022,IVEC_2022,IVEE_2022,IVS_2022,IVBSI_2021,IVMAUM_2021,IVEC_2021,IVEE_2021,IVS_2021
1,011. Palacio,01. Centro,"23,501","5,101","18,399",0.19,0.07,0.51,159.8816246,0.00,0.05,-0.01,0.19,0.07,0.01,159.31,0.00,0.17,-0.04,18.76,8,0.00,160.51,0.044,0.323,-0.014,18.920,8.630,0.035,153.170,243,33,0,210,0.38,0.14,0.03,224506.69,2.11,279,79.04,6738.64,13495,101,1928,22.2,"5,833","5,029",0.124,0.036,0.067,"5,410","6,167","5,299",138.71,0.29,0.53,0.26,0.07,0.17,0.05,0.12,0.20,0.10,9.52,4.4,5.06,7.09,9.89,10.62,4.44,5.01,7.14,8.77
2,012. Embajadores,01. Centro,"46,204","14,160","32,044",0.14,0.08,0.48,446.9768792,-0.01,0.03,-0.02,0.14,0.08,0.00,449.29,-0.02,0.07,-0.05,13.68,8,-0.02,455.13,0.035,0.256,-0.039,14.380,9.050,0.024,431.740,961,28,0,933,0.31,0.09,-0.02,180593.97,2.13,297,56.92,4696.23,25649,78,1927,22.1,"4,683","4,333",0.079,-0.033,0.024,"4,624","3,895","4,649",118.56,0.31,0.00,0.31,0.03,-0.25,0.05,0.08,0.00,0.08,9.68,10.32,5.52,10.01,9.08,9.77,9.24,5.46,10.08,8.12
3,013. Cortes,01. Centro,"10,816","3,072","7,744",0.17,0.06,0.51,182.7335699,0.00,0.03,-0.01,0.17,0.06,0.00,182.94,0.00,0.17,-0.05,16.79,7,0.01,181.98,0.027,0.328,-0.058,16.870,7.260,0.038,177.930,231,0,0,231,0.17,0.17,-0.20,337776.81,2.13,280,88.62,3249.11,6575,115,1923,23.3,"6,609","6,033",0.246,0.144,0.197,"5,729",0,"5,729",146.89,0.36,0.00,0.36,0.04,0.00,0.04,0.13,0.00,0.13,12.6,6.03,4.81,8.25,14.01,12.32,6.35,4.78,8.15,10.5
4,014. Justicia,01. Centro,"18,219","4,910","13,309",0.16,0.07,0.49,246.4024885,0.01,0.09,-0.02,0.15,0.07,0.02,243.64,0.01,0.21,-0.05,15.69,8,0.01,243.72,0.099,0.440,0.011,16.400,8.660,0.087,224.200,409,0,0,409,0.35,0.14,0.01,521304.41,2.16,267,101.57,2999.2,10653,124,1929,24.5,"7,533","5,873",0.118,-0.003,0.017,"6,919",0,"6,919",177.39,0.32,0.00,0.32,0.16,0.00,0.16,0.12,0.00,0.12,11.06,8.6,6.76,7.72,9.96,9.89,8.44,6.66,7.56,9.58
5,015. Universidad,01. Centro,"32,783","8,589","24,194",0.16,0.07,0.50,345.8122363,0.00,0.03,-0.01,0.16,0.07,0.00,346.63,-0.02,0.13,-0.06,15.61,7,-0.02,352.50,0.061,0.326,-0.009,16.520,8.210,0.041,325.910,622,48,0,574,0.18,0.02,-0.08,239893.15,2.14,293,70.16,4992.46,20366,89,1930,24.4,"6,420","5,473",0.180,0.036,0.064,"5,753","7,429","5,621",147.5,0.37,0.63,0.35,-0.04,-0.03,0.03,0.16,0.04,0.16,10.82,12.26,4.91,7.75,8.51,9.99,11.46,4.88,7.75,9.71
6,016. Sol,01. Centro,"8,164","2,844","5,320",0.16,0.06,0.48,183.3370761,0.01,0.04,-0.01,0.16,0.06,0.01,182.28,0.07,0.27,-0.01,16.96,6,0.05,171.17,0.134,0.576,-0.014,17.160,7.030,0.112,161.710,127,6,0,121,0.13,0.51,0.00,294897.72,2.12,227,94.25,4750.82,4665,136,1918,23.5,"7,171","6,045",0.203,0.183,0.268,"5,055",0,"5,085",129.59,0.47,0.78,0.42,-0.05,0.00,-0.04,-0.01,0.00,-0.01,12.8,28.17,6.92,9.5,20,13.04,26.06,6.79,9.32,15.45
7,021. Imperial,02. Arganzuela,"22,385","1,891","20,494",0.23,0.11,0.53,231.3216906,0.00,0.05,-0.01,0.23,0.11,0.00,232.06,-0.02,0.07,-0.03,21.95,12,-0.03,236.73,-0.015,0.246,-0.033,21.000,12.290,-0.018,234.780,204,57,0,147,0.04,0.65,0.05,207887.65,2.06,290,82.79,7918.54,11006,91,1971,,"4,680","4,346",0.285,0.108,-0.003,"3,954","3,684","4,063",101.37,0.37,0.31,0.40,0.04,0.07,0.05,0.11,0.16,0.06,5.87,6.12,6.65,5.18,5.99,5.81,5.36,6.37,5.14,5.73
8,022. Acacias,02. Arganzuela,"36,069","2,956","33,113",0.26,0.10,0.54,336.0257127,0.00,0.06,0.00,0.25,0.10,0.00,335.73,-0.02,0.07,-0.03,23.40,10,-0.02,343.96,-0.019,0.229,-0.036,22.070,11.080,-0.019,342.370,294,105,0,189,2.82,8.19,3.45,274495.66,2.04,303,69.84,7926.67,17620,94,1976,18.9,"4,668","4,533",0.217,0.082,0.111,"5,293","6,969","4,361",135.7,0.57,0.00,0.27,0.14,0.00,-0.03,0.26,0.72,0.03,5.58,6.25,6.64,4.96,6.76,5.93,5.61,6.33,5.05,5.71
9,023. Chopera,02. Arganzuela,"19,761","2,844","16,917",0.23,0.10,0.54,348.0274745,0.00,0.04,-0.01,0.23,0.11,0.00,347.56,-0.03,-0.01,-0.03,22.45,11,-0.03,357.30,-0.002,0.107,-0.018,23.200,10.770,-0.010,348.700,185,10,0,175,0.89,0.97,-0.29,182747.19,2.18,322,60.44,6692.2,9688,80,1957,18.4,"4,207","3,950",0.183,0.090,0.057,"4,207",0,"4,198",107.87,0.46,-1.00,0.42,0.15,0.00,0.13,0.18,0.00,0.18,5.69,7.05,4.88,6.52,7.13,5.86,7.05,4.66,6.68,6.66
10,024. Legazpi,02. Arganzuela,"19,468","1,560","17,908",0.11,0.17,0.51,137.631672,0.00,0.04,0.00,0.11,0.17,0.00,137.64,-0.02,0.09,-0.03,9.29,19,-0.02,140.05,0.011,0.184,-0.001,8.330,20.210,0.016,136.110,156,27,0,129,0.16,0.63,0.66,244347.69,1.99,290,84.72,5672.75,8801,107,1997,16.9,"4,977","4,895",0.000,0.114,0.078,"4,768","4,534","4,816",122.25,0.31,0.29,0.30,0.03,0.00,0.05,0.09,-0.10,0.13,6.26,4.7,6.12,4.46,6.61,6.38,4.52,5.81,4.57,7.24
